Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
Dr. Reddy's Laboratories Limited,RDY,Healthcare,18.233334,16.892,12.26,2149280,11393353728
RELX PLC,RELX,Industrials,38.20956,52.54,40.25,702324,95707062272
ATRenew Inc.,RERE,Consumer Cyclical,,3.7,1.53,911009,448758976
"RPC, Inc.",RES,Energy,11.38372,8.14,4.1,1778919,1057579392
"REV Group, Inc.",REVG,Industrials,14.199005,36,20.86,745467,1474810240
REX American Resources Corporation,REX,Basic Materials,12.130302,60.41,33.45,143737,681022336
"Rexford Industrial Realty, Inc.",REXR,Real Estate,25.392845,52.61,29.68,2501196,7648104960
"Resideo Technologies, Inc.",REZI,Industrials,25.213114,28.28,14.18,1122727,2274363648
Regions Financial Corporation,RF,Financial Services,9.142512,27.96,17.72,9523452,17013574656
"Cohen & Steers Total Return Realty Fund, Inc.",RFI,Financial Services,18.088097,13.44,10.43,72152,304093472
"Rafael Holdings, Inc.",RFL,Real Estate,,2.5,1.29,33749,53194700
"RiverNorth Flexible Municipal Income Fund, Inc.",RFM,,14.369473,16.54,13.141,22304,83471768
"RiverNorth Flexible Municipal Income Fund II, Inc.",RFMZ,,13.088937,14.78,11.76,65686,299614816
"Reinsurance Group of America, Incorporated",RGA,Financial Services,16.630476,233.81,159.25,525822,11792680960
"Sturm, Ruger & Company, Inc.",RGR,Industrials,22.045198,47.28,34.11,145650,654057152
"Royce Global Trust, Inc.",RGT,Financial Services,7.4888887,12.07,9,15472,65907188
RH,RH,Consumer Cyclical,41.7438,457.26,123.03,1546172,2837929472
Robert Half Inc.,RHI,Industrials,18.34836,78.41,44.305,1551427,4575449088
"Ryman Hospitality Properties, Inc.",RHP,Real Estate,19.082191,121.77,76.27,1032918,5014858752
Transocean Ltd.,RIG,Energy,,6.38,1.97,38025640,1863680640
Rio Tinto Group,RIO,Basic Materials,8.206506,74.24,51.67,3293560,94333558784
Rithm Capital Corp.,RITM,Real Estate,5.9011974,12.2,9.13,4684681,5226254336
"RiverNorth Opportunities Fund, Inc.",RIV,Financial Services,5.352673,12.96,10.11,83167,232166016
"Raymond James Financial, Inc.",RJF,Financial Services,12.669434,174.32,104.24,1658875,26583998464
"Rocket Companies, Inc.",RKT,Financial Services,54.404766,21.38,10.06,9053245,22704902144
Ralph Lauren Corporation,RL,Consumer Cyclical,18.210575,289.33,155.96,1090560,12338634752
RLI Corp.,RLI,Financial Services,20.009357,91.145,68.5,514154,6867615232
RLJ Lodging Trust,RLJ,Real Estate,25.24074,11.48,6.16,2495491,1039137600
Cohen & Steers Real Estate Opportunities & Income Fund,RLTY,Financial Services,11.785124,17.77,12.9,87200,238461424
RLX Technology Inc.,RLX,Consumer Defensive,28.916668,2.69,1.5,6490486,2725320704
Regional Management Corp.,RM,Financial Services,7.535749,37.52,25,46432,313081280
"RE/MAX Holdings, Inc.",RMAX,Real Estate,19,14.31,6.9,146124,228239504
ResMed Inc.,RMD,Healthcare,24.76033,263.05,178.49,1097965,30800949248
"RiverNorth Opportunistic Municipal Income Fund, Inc.",RMI,,16.174417,16.74,13.63,18598,88669848
Rivernorth Managed Duration Municipal Income Fund Inc.,RMM,Financial Services,16.645443,16.37,12.55,69086,259573776
"RiverNorth Managed Duration Municipal Income Fund II, Inc.",RMMZ,,17.620253,16.56,13.79,23754,117693600
"Royce Micro-Cap Trust, Inc.",RMT,Financial Services,5.915385,10.43,7.25,152103,389745344
"RingCentral, Inc.",RNG,Technology,,42.19,20.59,1605914,2013119104
"Ranger Energy Services, Inc.",RNGR,Energy,15.008888,18.45,9.27,112222,279317760
"Cohen & Steers REIT and Preferred Income Fund, Inc.",RNP,Financial Services,10.608646,24.41,19,113427,975110080
RenaissanceRe Holdings Ltd.,RNR,Financial Services,6.630361,300,208.98,530075,11440275456
Renasant Corporation,RNST,Financial Services,8.469419,39.63,26.97,935127,2630232832
Rogers Corporation,ROG,Technology,38.2,134.07,51.43,239740,990390784
"Rockwell Automation, Inc.",ROK,Industrials,27.748756,308.7,215,1000037,25226586112
"Rollins, Inc.",ROL,Consumer Cyclical,56.739586,56.26,42.25,2034437,26422089728
RPM International Inc.,RPM,Basic Materials,20.038076,141.79,95.28,707459,12841015296
,RPT,Real Estate,,3.86,2.285,259186,118725000
"Cohen & Steers Quality Income Realty Fund, Inc.",RQI,Financial Services,15.513379,14.41,10.39,377262,1543254528
Range Resources Corporation,RRC,Energy,29.724771,41.95,27.29,2979027,7780536320
Regal Rexnord Corporation,RRX,Industrials,32.73469,185.28,90.56,777465,6383675904
"Reliance, Inc.",RS,Basic Materials,17.426367,326.87,250.07,458106,14354379776
"RiverNorth Capital and Income Fund, Inc.",RSF,,9.175758,16.9,14.86,21996,52788640
"Republic Services, Inc.",RSG,Industrials,36.572308,249.73,180.92,1253839,74280132608
"Rush Street Interactive, Inc.",RSI,Consumer Cyclical,381.1667,16.776,5.71,2019129,2610027264
Riskified Ltd.,RSKD,Technology,,6.645,3.94,562747,721846400
Rentokil Initial plc,RTO,Industrials,28.2625,34.07,19.6,895014,11401907200
RTX Corporation,RTX,Industrials,35.322033,136.17,99.07,5393863,1.6694E+11
"Revolve Group, Inc.",RVLV,Consumer Cyclical,27.594204,39.578,14.875,1457850,1356221056
"Royce Small-Cap Trust, Inc.",RVT,Financial Services,9.644667,16.93,12.12,298745,1531499776
"Revvity, Inc.",RVTY,Healthcare,38.582607,129.5,88.525,1096208,10661844992
"Redwood Trust, Inc.",RWT,Real Estate,16.934687,8.15,4.68,1027547,720648128
,RWTN,,,26.25,22.48,10577,
,RWTO,,,26,22.25,12826,
"Redwood Trust, Inc.",RWTP,,,25,22.7,33605,
"RXO, Inc.",RXO,Industrials,,32.82,12.19,1457272,2048067968
Royal Bank of Canada,RY,Financial Services,13.057955,128.05,95.84,1348640,1.62314E+11
Rayonier Advanced Materials Inc.,RYAM,Basic Materials,,10.28,3.72,521424,273014880
"Ryan Specialty Holdings, Inc.",RYAN,Financial Services,94.04225,77.16,48.48,999649,17505957888
Ryerson Holding Corporation,RYI,Industrials,,32.45,17.183,253286,689253440
Rayonier Inc.,RYN,Real Estate,10.179915,32.88,22.8,1179303,3847643392
"Reinsurance Group of America, Incorporated",RZB,,4.0398817,26,24.11,32381,8652147712
7.125% Fixed-Rate Reset Subordinated Debentures due 2052,RZC,,,27.33,24.74,53867,
"SentinelOne, Inc.",S,Technology,,29.29,14.33,5344986,5320663552
Seabridge Gold Inc.,SA,Basic Materials,,20.55,9.4,1020988,1233788288
Saba Capital Income & Opportunities Fund II,SABA,Financial Services,4.195876,9.43,7.44,86126,229022160
Safehold Inc.,SAFE,Real Estate,9.905405,28.8,13.68,473086,1052381312
"Sonic Automotive, Inc.",SAH,Consumer Cyclical,9.313916,76.78,48.61,252642,1949240704
,SAJ,,,25.6,24.74,2836,
"The Boston Beer Company, Inc.",SAM,Consumer Defensive,46.24554,339.77,215.1,216734,2617376000
"Banco Santander, S.A.",SAN,Financial Services,7.6149426,7.16,4.27,6040401,99622772736
Sandstorm Gold Ltd.,SAND,Basic Materials,167.312,8.82,4.92,5609000,2455094528
SAP SE,SAP,Technology,83.224075,293.7,176.14,1394581,2.90451E+11
Saratoga Investment Corp.,SAR,Financial Services,9.195219,26.49,21.1,125522,331114912
"StandardAero, Inc.",SARO,Industrials,613,34.38,21.31,2469263,8201008640
,SAT,,,25.16,23.35,11142,
,SAY,,,25.605,24.9,3721,
,SAZ,,,26,24.9,6191,
"Safe Bulkers, Inc.",SB,Industrials,3.874217,6.33,3.02,674021,338506208
"Sally Beauty Holdings, Inc.",SBH,Consumer Cyclical,4.7801204,14.79,7.54,2517059,809004992
Western Asset Intermediate Muni Fund Inc.,SBI,Financial Services,13.214286,8.29,7.3,54049,104209024
Sabine Royalty Trust,SBR,Energy,11.914835,70.2,58.25,41760,948456384
Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SBS,Utilities,16.633839,18.95,13.1,1011867,12733723648
"Southside Bancshares, Inc.",SBSI,Financial Services,9.446735,38,25.3,123808,835951680
Sibanye Stillwater Limited,SBSW,Basic Materials,,5.91,3.05,10050204,3541748224
SilverBox Corp IV,SBXD,Financial Services,,10.4,9.95,40477,259895552
Southern Copper Corporation,SCCO,Basic Materials,19.77093,128.37404,74.84,1596013,67687493632
LMP Capital and Income Fund Inc.,SCD,Financial Services,2.7755883,17.96,13.35,42568,240643504
The Charles Schwab Corporation,SCHW,Financial Services,22.457577,84.5,61.01,12725198,1.34578E+11
Service Corporation International,SCI,Consumer Cyclical,21.543911,89.37,67.19,1325055,10958500864
Stepan Company,SCL,Basic Materials,21.102272,94.77,44.23,134319,1047111232
Stellus Capital Investment Corporation,SCM,Financial Services,7.0167603,15.56,11.19,211306,345644928
Steelcase Inc.,SCS,Consumer Cyclical,9.156863,14.74,9.315,750467,1062163520
"SandRidge Energy, Inc.",SD,Energy,5.4674554,14.845,8.81,321918,343221632
Smith Douglas Homes Corp.,SDHC,Real Estate,10.3453045,39.5,17.03,76647,962976192
PGIM Short Duration High Yield Opportunities Fund,SDHY,,9.614877,16.97,14.91,78449,384310688
Seadrill Limited,SDRL,Energy,3.1051807,56.46,17.74,1164195,1229584128
Sea Limited,SE,Consumer Cyclical,155.78378,147.728,55,5150719,66209910784
Sealed Air Corporation,SEE,Consumer Cyclical,14.027173,41.14,22.78,1865727,3762117120
"Solaris Energy Infrastructure, Inc.",SEI,Energy,34.38,39.025,8.091,1580721,1161091712
Select Medical Holdings Corporation,SEM,Healthcare,29.87255,22.07974,14.55819,975078,1964751232
"Semrush Holdings, Inc.",SEMR,Technology,147.33334,18.74,7.9,748606,1299913088
SES AI Corporation,SES,Consumer Cyclical,,2.53,0.2,25780214,245124464
Stifel Financial Corp.,SF,Financial Services,13.1464,120.64,73.27,892327,8525029888
,SFB,,,19.3698,19.25,,
"ServisFirst Bancshares, Inc.",SFBS,Financial Services,16.527645,101.37,58.43,246960,3754098432
SFL Corporation Ltd.,SFL,Industrials,7.6485147,14.62,6.78,1365283,1034879616
"Sweetgreen, Inc.",SG,Consumer Cyclical,,45.12,16.36,4003014,1931393920
Super Group (SGHC) Limited,SGHC,Consumer Cyclical,29.4,8.51,2.9,927445,3716439296
Somnigroup International Inc.,SGI,Consumer Cyclical,26.624998,69.87,45.04,3848800,11995550720
"Star Group, L.P.",SGU,Energy,9.021897,13.75,9.64,36052,427249344
Shake Shack Inc.,SHAK,Consumer Cyclical,339.2292,139.89,72.93,1466672,3462808064
Soho House & Co Inc.,SHCO,Consumer Cyclical,,8.47,4.43,510095,989989696
Shell plc,SHEL,Energy,12.647233,74.605,58.545,5374067,1.90551E+11
"Shinhan Financial Group Co., Ltd.",SHG,Financial Services,5.7013535,46.05,28.76,283303,16843624448
"Sunstone Hotel Investors, Inc.",SHO,Real Estate,57.464287,12.41,7.45,2389939,1618646016
Strive U.S. Semiconductor ETF,SHOC,,29.079111,54.67,31.89,27963,
The Sherwin-Williams Company,SHW,Basic Materials,30.52849,400.42,282.09,1961309,80851664896
Companhia Siderúrgica Nacional,SID,Basic Materials,,2.89,1.27,2201619,1972558848
Signet Jewelers Limited,SIG,Consumer Cyclical,,112.06,45.55,1551160,2253316352
Sprott Inc.,SII,Financial Services,27.277487,53.7699,38.41,153545,1344263296
"Sila Realty Trust, Inc.",SILA,Real Estate,34.397335,27.5,20.2,410422,1431035776
SITE Centers Corp.,SITC,Real Estate,1.2124352,64.44,10.455,960287,615250368
"SiteOne Landscape Supply, Inc.",SITE,Industrials,39.83764,166.34,101.25,505236,4854626304
The J. M. Smucker Company,SJM,Consumer Defensive,,125.42,98.77,1351647,12281054208
San Juan Basin Royalty Trust,SJT,Energy,52.36364,5.94,3.21,263700,268466688
Skeena Resources Limited,SKE,Basic Materials,,12.755,4.1,418054,1382273920
Skillsoft Corp.,SKIL,Consumer Defensive,,34.425,5.09,44150,173865424
Skillz Inc.,SKLZ,Communication Services,,7.48,3.54,81668,74281648
"SK Telecom Co., Ltd.",SKM,Communication Services,10.174108,24.58,20.28,331449,8741766144
Tanger Inc.,SKT,Real Estate,35.30682,37.57,25.94,921803,3517217280
"Skechers U.S.A., Inc.",SKX,Consumer Cyclical,11.040866,78.85,44.5,3109585,6912235520
"Champion Homes, Inc.",SKY,Consumer Cyclical,27.756186,116.49,64.82,534757,4499030016
Sky Harbour Group Corporation,SKYH,Industrials,,14.52,8.26,141150,786222272
Schlumberger Limited,SLB,Energy,10.958264,50.94,31.11,17985849,46344298496
Sun Life Financial Inc.,SLF,Financial Services,14.901857,62.85,46.41,733778,31883835392
SL Green Realty Corp.,SLG,Real Estate,,82.81,45.15,903670,3795978240
Silgan Holdings Inc.,SLGN,Consumer Cyclical,18.833334,58.14,41.14,839137,5189169152
TCW Senior Loan ETF,SLNZ,,,48.09,46,22542,
"SelectQuote, Inc.",SLQT,Financial Services,,6.86,1.48,1975232,494913984
Sylvamo Corporation,SLVM,Basic Materials,8.058496,98.02,54.94,386968,2356076544
SM Energy Company,SM,Energy,3.311844,51.94,19.67,2461216,2528465664
"SmartStop Self Storage REIT, Inc.",SMA,Real Estate,,35.07,29.89,1917150,1743931392
"SmartFinancial, Inc.",SMBK,Financial Services,13.2336445,37.72,19.66,49959,481935584
Summit Midstream Corporation,SMC,Energy,,45.89,25.72,112860,332835520
"Sumitomo Mitsui Financial Group, Inc.",SMFG,Financial Services,9.435715,16.74,10.74,1791436,85906481152
The Scotts Miracle-Gro Company,SMG,Basic Materials,,93.9,46.45,1156452,2917889024
SEACOR Marine Holdings Inc.,SMHI,Industrials,,15.36,3.63,139185,116306112
"Standard Motor Products, Inc.",SMP,Consumer Cyclical,9.626556,35.92,21.38,184172,527602816
NuScale Power Corporation,SMR,Industrials,,32.3,4.61,10081250,1775071872
"SmartRent, Inc.",SMRT,Technology,,2.98,0.671,1862545,155127872
Similarweb Ltd.,SMWB,Technology,,17.64,5.71,672945,537976960
"SharkNinja, Inc.",SN,Consumer Cyclical,22.604504,123,60.5,1797878,9866394624
Snap-on Incorporated,SNA,Industrials,15.248588,373.9,252.98,439355,15282567168
Snap Inc.,SNAP,Communication Services,,17.33,7.08,30576768,12849926144
"Sonida Senior Living, Inc.",SNDA,Healthcare,,34.19,19.34,31855,391559136
"Schneider National, Inc.",SNDR,Industrials,33.022728,33.9,20.61,834198,3824761088
Smith & Nephew plc,SNN,Healthcare,27.107449,31.72,23.69,836691,11191331840
Snowflake Inc.,SNOW,Technology,,194.4,107.13,5889655,45322334208
Synovus Financial Corp.,SNV,Financial Services,11.219719,59.92,34.66,1680404,5544893952
TD SYNNEX Corporation,SNX,Technology,12.775,145.1,92.23,963777,8576766976
The Southern Company,SO,Utilities,22.572681,94.45,71.66,5232706,99088613376
South Bow Corporation,SOBO,Energy,15.838817,27.6,21.12,992286,5012920320
Sable Offshore Corp.,SOC,Energy,,32.33,10.26,1658903,1651867008
The Southern Company JR 2017B NT 77,SOJC,,25.261906,25.066,21.1,32611,21208838144
,SOJD,,,24.55,20,105937,
,SOJE,,,22.35,17.281,76909,
,SOJF,,,26.99,24.92,223752,
Emeren Group Ltd,SOL,Technology,,3,1.04,348116,62868960
Solventum Corporation,SOLV,Healthcare,22.929348,85.92,47.16,1198490,10948495360
Sonoco Products Company,SON,Consumer Cyclical,63.455734,61.73,39.46,867654,4255650048
Sony Group Corporation,SONY,Technology,18.123077,25.78,15.022,5539113,1.4421E+11
Source Capital,SOR,Financial Services,8.340397,47.91,38.66,12173,326899840
SOS Limited,SOS,Financial Services,,19.35,4.04,13521,13338341
"Spectrum Brands Holdings, Inc.",SPB,Consumer Defensive,15.983426,96.74,57.66,472942,1522522240
"Virgin Galactic Holdings, Inc.",SPCE,Industrials,,28.2,2.18,1936455,101972368
"Special Opportunities Fund, Inc.",SPE,Financial Services,4.0762753,15.87,12.17,58054,147733040
"Simon Property Group, Inc.",SPG,Real Estate,20.146088,190.14,136.34,1735614,55135277056
S&P Global Inc.,SPGI,Financial Services,36.13916,545.39,407.69,1422483,1.36989E+11
"Suburban Propane Partners, L.P.",SPH,Utilities,18.716982,22.24,15.2,283036,1279555072
Sphere Entertainment Co.,SPHR,Communication Services,,50.88,24.01,887075,860920448
"Spire Global, Inc.",SPIR,Industrials,,21.426,6.26,737090,250752992
Steel Partners Holdings L.P.,SPLP,Industrials,2.8876712,48.45,27.95,3916,629321216
"Sound Point Meridian Capital, Inc.",SPMA,,,25.2,23.675,12034,
"Sound Point Meridian Capital, Inc.",SPMC,,,22.3,16.258,37460,359441024
SiriusPoint Ltd.,SPNT,Financial Services,15.317308,17.99,11.54,735608,1848214528
Spotify Technology S.A.,SPOT,Communication Services,90.229034,652.628,267.76,2541175,1.14517E+11
"Spirit AeroSystems Holdings, Inc.",SPR,Industrials,,37.08,27,1323575,3867432704
Spruce Power Holding Corporation,SPRU,Technology,,4.89,1.77,59216,36517964
"SPX Technologies, Inc.",SPXC,Industrials,28.83683,183.83,115,330139,5787005440
Nuveen S&P 500 Dynamic Overwrite Fund,SPXX,Financial Services,4.510386,18.52,14.33,74155,272992000
Sociedad Química y Minera de Chile S.A.,SQM,Basic Materials,,50.73,31.27,1230021,9730258944
Sequans Communications S.A.,SQNS,Technology,0.8237886,4.275,0.95,76737,47013484
Spire Inc.,SR,Utilities,19.049873,79.81,57.77,456334,4457035776
Sempra,SRE,Utilities,15.678734,95.77,61.9,5421178,45177573376
,SREA,,,25.24,19.61,72108,
Surf Air Mobility Inc.,SRFM,Industrials,,6.72,0.9,271759,43154140
Seritage Growth Properties,SRG,Real Estate,,9.54,2.43,242678,164467840
"Stoneridge, Inc.",SRI,Consumer Cyclical,,18.4,3.54,364981,101913800
Scully Royalty Ltd.,SRL,Financial Services,,9.99,5.74,5721,112056584
NXG Cushing Midstream Energy Fund,SRV,Financial Services,2.4233313,50.61,34.24,39268,158062816
SouthState Corporation,SSB,Financial Services,11.890962,114.27,70.68,738695,8401131008
"Simpson Manufacturing Co., Inc.",SSD,Basic Materials,18.770893,197.82,137.35,275659,5995895808
Sasol Limited,SSL,Basic Materials,,8.4,2.78,1215250,2176986368
"System1, Inc.",SST,Industrials,,2.05,0.29,176788,28542034
"Shutterstock, Inc.",SSTK,Communication Services,15,46.1,14.35,529978,528739520
Sensata Technologies Holding plc,ST,Technology,22.023527,43.14,17.32,2064959,2799613440
"STAG Industrial, Inc.",STAG,Real Estate,30.495193,41.63,28.61,1575996,6038251008
Stewart Information Services Corporation,STC,Financial Services,24.4023,78.44,58.61,177485,1784982272
STERIS plc,STE,Healthcare,34.905952,248.24,198.13,569016,21331722240
"Stellar Bancorp, Inc.",STEL,Financial Services,11.830232,32.36,21.27,215178,1329403520
"Stem, Inc.",STEM,Utilities,,1.97,0.291,5496950,56122884
"SRH Total Return Fund, Inc.",STEW,Financial Services,2.8427563,17.46,14.19,141093,1551743872
Sunlands Technology Group,STG,Consumer Defensive,1.4749262,11.06,4.25,4791,67592496
Columbia Seligman Premium Technology Growth Fund,STK,Financial Services,3.1757271,36.3,23.05,57259,416067584
Stellantis N.V.,STLA,Consumer Cyclical,4.3714767,25.05,8.39,18685147,26493771776
STMicroelectronics N.V.,STM,Technology,11.834338,45.39,17.25,8283759,17698770944
Stantec Inc.,STN,Industrials,37.5022,90.24,73.18,174727,9710523392
Scorpio Tankers Inc.,STNG,Energy,2.6006389,84.67,30.63,1036373,1707064320
Sitio Royalties Corp.,STR,Energy,33.530613,25.64,14.58,743981,2486976256
Strive 500 ETF,STRV,,22.920198,39.63,30.88,118418,
State Street Corporation,STT,Financial Services,9.015765,103,70.2,2194506,23111399424
Stevanato Group S.p.A.,STVN,Healthcare,43.795918,28.77,16.56,364627,5856412672
"Starwood Property Trust, Inc.",STWD,Real Estate,16.35909,21.17,16.59,2764988,6252237312
Strive 1000 Dividend Growth ETF,STXD,,25.857006,34.218,28.455,9113,
Strive Emerging Markets Ex-China ETF,STXE,,14.207447,31.9,24.752,19275,
Strive 1000 Growth ETF,STXG,,27.159685,45.38,34.32,17677,
Strive International Developed Markets ETF,STXI,,16.42447,27.82,23.1,4350,
Strive Small-Cap ETF,STXK,,14.393097,34.525,24.47,10972,
Strive Mid-Cap ETF,STXM,,18.227343,28.49,21.24,6478,
Strive Total Return Bond ETF,STXT,,,21.38,19.5,21590,
Strive 1000 Value ETF,STXV,,15.970573,32.07,26.51,18821,
"Constellation Brands, Inc.",STZ,Consumer Defensive,,265.7,160.46,2751345,33392865280
Suncor Energy Inc.,SU,Energy,10.173076,41.95,30.79,5049459,42539057152
"Sun Communities, Inc.",SUI,Real Estate,166.91666,147.83,109.22,812798,15989708800
Sunoco LP,SUN,Energy,9.29,59.67,48,494550,7593795072
"Superior Industries International, Inc.",SUP,Consumer Cyclical,,4.16,1.5,106063,67243584
TCW Transform Supply Chain ETF,SUPP,,29.716488,69.74,51.07,1155,
Grupo Supervielle S.A.,SUPV,Financial Services,12.680672,19.75,5,1155770,1335641472
Suzano S.A.,SUZ,Basic Materials,,11.93,8.41,2020383,10918787072
"Savers Value Village, Inc.",SVV,Consumer Cyclical,53.88235,17.91,6.48,775906,1453765248
Smurfit Westrock Plc,SW,Consumer Cyclical,49.317074,56.986,37.01,4094531,21108709376
"Stanley Black & Decker, Inc.",SWK,Industrials,29.732803,110.88,53.91,2457042,8684262400
"Southwest Gas Holdings, Inc.",SWX,Utilities,26.036232,80.29,64.31,431281,5162990592
"Total Return Securities, Inc.",SWZ,,,9.43,6.01,60409,80022712
"SunCoke Energy, Inc.",SXC,Basic Materials,8.227678,12.82,7.47,970865,780014720
Standex International Corporation,SXI,Industrials,28.209606,212.66,128.845,69763,1537234432
Sensient Technologies Corporation,SXT,Basic Materials,24.748299,82.99,66.15,290390,3087759872
Synchrony Financial,SYF,Financial Services,5.459649,70.93,40.545,5006178,18146850816
Stryker Corporation,SYK,Healthcare,43.230667,406.19,314.93,1643840,1.28045E+11
Sysco Corporation,SYY,Consumer Defensive,18.2,82.23,67.12,3908595,34725548032
AT&T Inc.,T,Communication Services,17.624094,29.03,16.17,44392296,1.89091E+11
TransAlta Corporation,TAC,Utilities,20.261906,14.64,6.36,1856796,2535129088
Takeda Pharmaceutical Company Limited,TAK,Healthcare,33.011112,15.37,12.58,1959957,48011653120
TAL Education Group,TAL,Consumer Defensive,52.605263,15.3,7.35,8282457,6039808512
Talos Energy Inc.,TALO,Energy,,14.07,6.225,1918072,1282027136
Molson Coors Beverage Company,TAP,Consumer Defensive,10.665421,65.24,49.19,2402036,11569542144
AT&amp;T Inc. 5.35% GLB NTS 66,TBB,,4.376953,24.9,22.22,74450,1.37592E+11
BBB Foods Inc.,TBBB,Consumer Defensive,220.83334,35.22,19.67,1042442,3026326528
"TrueBlue, Inc.",TBI,Industrials,,12.29,3.95,228108,122985640
Tamboran Resources Corporation,TBN,Energy,,34.5,15.75,25168,305272800
"Transcontinental Realty Investors, Inc.",TCI,Real Estate,41.191177,31.92,25.5,2522,241987360
The Toronto-Dominion Bank,TD,Financial Services,17.923077,64.91,51.25,2165318,1.06125E+11
Teradata Corporation,TDC,Technology,17.24138,38.45,18.43,1652647,1920707968
"Templeton Dragon Fund, Inc.",TDF,Financial Services,8.196261,10.41,7.49,104178,222345824
TransDigm Group Incorporated,TDG,Industrials,45.702927,1451.32,1176.31,286116,72693211136
"Teladoc Health, Inc.",TDOC,Healthcare,,15.21,6.38,7915531,1122655616
"Telephone and Data Systems, Inc.",TDS,Communication Services,,41.21,14.04,982901,4034328576
Tidewater Inc.,TDW,Energy,9.575,111.42,31.17,1275516,1675612416
Teledyne Technologies Incorporated,TDY,Technology,26.206514,522.5,355.41,288000,21099915264
T1 Energy Inc.,TE,Industrials,,3.36,0.91,1576596,162175520
Ecofin Sustainable and Social Impact Term Fund,TEAF,Financial Services,11.876195,13.34,10.09,40722,147405104
Teck Resources Limited,TECK,Basic Materials,,55.13,28.32,3855647,16197087232
"Telefónica, S.A.",TEF,Communication Services,,5,3.89,759250,28235853824
Templeton Emerging Markets Income Fund,TEI,Financial Services,16.065624,5.94,4.78,194963,242801200
TE Connectivity plc,TEL,Technology,20.14613,159.98,116.3,1880114,38047465472
Tsakos Energy Navigation Limited,TEN,Energy,3.1133199,31.48,13.4,299577,471798208
Telecom Argentina S.A.,TEO,Communication Services,5.3163266,15.54,5.52,190813,3115038208
Teva Pharmaceutical Industries Limited,TEVA,Healthcare,,22.8,12.47,13095026,15202955264
Terex Corporation,TEX,Industrials,6.721774,68.08,31.53,1105591,2209731840
Truist Financial Corporation,TFC,Financial Services,,49.06,33.56,9869783,45984497664
TFI International Inc.,TFII,Industrials,15.340725,158.93,72.02,545760,6410650624
Triple Flag Precious Metals Corp.,TFPM,Basic Materials,,22.96,13.94,305206,4408865280
,TFSA,,,26.85,21.6,1067,
Teleflex Incorporated,TFX,Healthcare,85.87248,249.91,124.66,1162134,5716844032
Tredegar Corporation,TG,Industrials,237.66667,9.22,4.31,89173,247116528
"Triumph Group, Inc.",TGI,Industrials,130.39473,25.55,11.01,2276547,1918011136
Tecnoglass Inc.,TGLS,Basic Materials,19.352768,86.99,40.94,390167,3119302400
TEGNA Inc.,TGNA,Communication Services,4.4050994,19.62,12.35,1811136,2499118336
Transportadora de Gas del Sur S.A.,TGS,Energy,12.6896105,34.37,14.16,332403,3993571328
Target Corporation,TGT,Consumer Defensive,10.363996,169.09,87.35,7858908,41833263104
Tenet Healthcare Corporation,THC,Healthcare,3.388872,171.2,92.01,1608450,10461169664
"The Hanover Insurance Group, Inc.",THG,Financial Services,13.386461,176.16,119.66,270101,5630074880
THOR Index Rotation ETF,THIR,,27.550512,27.015,24.39,65475,
THOR Equal Weight Low Volatility ETF,THLV,,20.286287,29.77,25.41,30660,
"THOR Industries, Inc.",THO,Consumer Cyclical,18.118038,118.85,63.16,907822,3634071808
Abrdn Healthcare Opportunities Fund,THQ,Financial Services,4.010459,22.6,17.42,126236,759624768
"Thermon Group Holdings, Inc.",THR,Industrials,17.4927,35.93,23.05,208019,807383232
"TreeHouse Foods, Inc.",THS,Consumer Defensive,42.549023,43.84,21.42,737906,1089415936
Abrdn World Healthcare Fund,THW,Financial Services,4.296502,13.48,9.8,136413,401473792
TIM S.A.,TIMB,Communication Services,13.881819,18.39,11.32,604139,7390084608
"Team, Inc.",TISI,Industrials,,26.77,5.97,22493,104381448
TELUS International (Cda) Inc.,TIXT,Technology,,8.49,2.13,360932,391995872
"The TJX Companies, Inc.",TJX,Consumer Cyclical,28.772299,131.3,93.32,5660190,1.36923E+11
Teekay Corporation Ltd.,TK,Energy,4.570493,9.95,5.65,689757,542179712
Turkcell Iletisim Hizmetleri A.S.,TKC,Communication Services,18.40909,8.47,5.74,623181,5358757376
"TKO Group Holdings, Inc.",TKO,Communication Services,14290,179.09,94.32,1796049,11654037504
The Timken Company,TKR,Industrials,11.9739485,94.71,56.2,743080,4192956160
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,TLK,Communication Services,11.294117,21,13.15,792490,15215953920
"Tilly's, Inc.",TLYS,Consumer Cyclical,,6.28,1.495,106409,46735444
Toyota Motor Corporation,TM,Consumer Cyclical,6.4990635,235.68,155,389467,2.3002E+11
Tencent Music Entertainment Group,TME,Communication Services,20.894737,15.77,9.41,8570934,20988041216
Taylor Morrison Home Corporation,TMHC,Consumer Cyclical,6.6565895,75.49,51.9,1108047,5534727168
Thermo Fisher Scientific Inc.,TMO,Healthcare,25.424124,627.88,409.85,2127868,1.58741E+11
Tennant Company,TNC,Industrials,15.462328,119.71,67.665,188698,1273649920
"TriNet Group, Inc.",TNET,Industrials,21.67201,130.83,65.43,515486,3597628160
Teekay Tankers Ltd.,TNK,Energy,3.3233018,74.2,33.35,453768,1328872064
