Company,Ticker,Sector,PE Ratio,Avg Volume,Market Cap,52 Week Range,Cluster
"BXP, Inc.",BXP,Real Estate,689.3333,1495247.0,10943173632.0,1.6619328661010697,0
Blackstone Secured Lending Fund,BXSL,Financial Services,8.176811,1363583.0,6426774016.0,1.3379683275395906,4
"Byline Bancorp, Inc.",BY,Financial Services,8.683636,154388.0,1067046720.0,1.5935077519379846,4
Boyd Gaming Corporation,BYD,Consumer Cyclical,10.317448,1015754.0,5269673984.0,1.6315362788812322,0
BlackRock Municipal Income Quality Trust,BYM,Financial Services,53.42053,115632.0,262915920.0,1.2306163021868788,4
"Beazer Homes USA, Inc.",BZH,Consumer Cyclical,4.5801525,488740.0,561655808.0,2.2003454231433506,0
Citigroup Inc.,C,Financial Services,9.846762,17806119.0,116414000000.0,1.5836292281816482,5
Corporación América Airports S.A.,CAAP,Industrials,10.22,260093.0,2881094656.0,1.4887218045112782,0
"Cable One, Inc.",CABO,Communication Services,97.81008,153447.0,1420107264.0,1.9341196777905638,0
CACI International Inc,CACI,Technology,19.61719,605942.0,9363587072.0,1.846390458254865,0
Cadence Bank,CADE,Financial Services,9.954874,1290996.0,5060701696.0,1.5939730372720065,4
"Morgan Stanley China A Share Fund, Inc.",CAF,Financial Services,11.306306,35377.0,215563824.0,1.4645454545454546,4
"Conagra Brands, Inc.",CAG,Consumer Defensive,37.25,6360237.0,12091579392.0,1.4414570685169126,0
"Cardinal Health, Inc.",CAH,Healthcare,24.521397,2651727.0,31809650688.0,1.4972630675110015,0
"Caleres, Inc.",CAL,Consumer Cyclical,4.8220067,996403.0,507978240.0,3.1235087719298242,0
Cango Inc.,CANG,Consumer Cyclical,11.028571,344513.0,400621664.0,7.318181818181818,0
CrossAmerica Partners LP,CAPL,Energy,43.08154,44195.0,852628608.0,1.396093326098752,0
Carrier Global Corporation,CARR,Industrials,47.508194,5889413.0,50076741632.0,1.5573831775700933,0
Cars.com Inc.,CARS,Consumer Cyclical,15.597221,826831.0,717007424.0,2.1519756838905777,0
Caterpillar Inc.,CAT,Industrials,12.860041,2946739.0,135463000000.0,1.5656565656565655,2
"CAVA Group, Inc.",CAVA,Consumer Cyclical,71.69091,3618911.0,9115822080.0,2.9616970113363106,0
Chubb Limited,CB,Financial Services,12.307048,1803722.0,111939000000.0,1.284948712581118,2
"Colony Bankcorp, Inc.",CBAN,Financial Services,10.827206,80575.0,257983472.0,1.7576045627376424,4
"CBL & Associates Properties, Inc.",CBL,Real Estate,12.339573,175922.0,713845888.0,1.589336492890995,0
"Chain Bridge Bancorp, Inc.",CBNA,Financial Services,5.767386,17747.0,157811760.0,1.377311344327836,4
"CBRE Group, Inc.",CBRE,Real Estate,36.42038,2029103.0,34291646464.0,1.753917378917379,0
Cabot Corporation,CBT,Basic Materials,10.192143,461126.0,4150276352.0,1.5952736656254245,0
"Community Financial System, Inc.",CBU,Financial Services,15.322674,245959.0,2785017088.0,1.7407495256166985,4
"CBIZ, Inc.",CBZ,Industrials,95.48719,379085.0,4026254848.0,1.438397701883179,0
The Chemours Company,CC,Basic Materials,19.385965,2964360.0,1651323008.0,3.1307609860664525,0
Carlyle Credit Income Fund,CCIF,Financial Services,14.469111,176447.0,109473072.0,1.4789915966386555,4
Cameco Corporation,CCJ,Energy,140.08928,4533663.0,17075112960.0,1.7871428571428571,0
"Crown Holdings, Inc.",CCK,Consumer Cyclical,23.563381,1396637.0,9784038400.0,1.3898927159796723,0
Carnival Corporation & plc,CCL,Consumer Cyclical,11.074195,25897411.0,23256174592.0,2.084179970972424,5
CoreCard Corporation,CCRD,Technology,28.07,22049.0,146443312.0,2.1731940818102697,0
"Century Communities, Inc.",CCS,Real Estate,5.556731,479262.0,1771356032.0,1.9412712623097583,0
Compañía Cervecerías Unidas S.A.,CCU,Consumer Defensive,16.833334,232967.0,2798977792.0,1.567,0
Comcast Holdings Corp.,CCZ,,49.06143,416.0,54465953792.0,1.2872600677455777,0
"Coeur Mining, Inc.",CDE,Basic Materials,39.366665,20757267.0,3774198784.0,1.9156327543424316,5
Cadeler A/S,CDLR,Industrials,23.25,67975.0,1774476288.0,1.655629139072848,0
COPT Defense Properties,CDP,Real Estate,21.00813,1133663.0,2971496704.0,1.5188637372392364,0
"Cadre Holdings, Inc.",CDRE,Industrials,33.622223,242026.0,1228798080.0,1.4877742483563565,0
"The Central and Eastern Europe Fund, Inc.",CEE,Financial Services,4.8339224,90409.0,87491944.0,1.7757704569606803,4
Central Puerto S.A.,CEPU,Utilities,39.053574,296845.0,1643246208.0,2.347949080622348,0
"CF Industries Holdings, Inc.",CF,Basic Materials,11.019288,2928031.0,12363503616.0,1.459013959013959,0
"Citizens Financial Group, Inc.",CFG,Financial Services,10.863492,4960093.0,14976999424.0,1.5107361963190182,4
"Cullen/Frost Bankers, Inc.",CFR,Financial Services,12.447012,526585.0,7091865088.0,1.5691359336805184,4
Centerra Gold Inc.,CGAU,Basic Materials,19.901714,951821.0,1460233600.0,1.44547134935305,0
"Church & Dwight Co., Inc.",CHD,Consumer Defensive,43.57806,1721667.0,25418240000.0,1.2087182148417228,0
Chemed Corporation,CHE,Healthcare,28.273,118847.0,8218576384.0,1.217702882136999,0
"Choice Hotels International, Inc.",CHH,Consumer Cyclical,19.56613,435336.0,5660931072.0,1.4453396813770374,0
Cherry Hill Mortgage Investment Corporation,CHMI,Real Estate,37.642857,339834.0,84905496.0,1.7051282051282053,0
"The China Fund, Inc.",CHN,Financial Services,4.137681,36188.0,111142752.0,1.5866523143164695,4
"Chunghwa Telecom Co., Ltd.",CHT,Communication Services,26.840137,123265.0,30607022080.0,1.1308463251670378,0
"Chewy, Inc.",CHWY,Consumer Cyclical,37.142857,5536931.0,13980964864.0,2.729928498467824,0
The Cigna Group,CI,Healthcare,26.7335,1904606.0,87841701888.0,1.415219631339923,2
"Citizens, Inc.",CIA,Financial Services,14.827587,118665.0,214601824.0,2.9899497487437188,4
Bancolombia S.A.,CIB,Financial Services,6.635157,503829.0,10476218368.0,1.485289256198347,4
Ciena Corporation,CIEN,Technology,105.090904,2757775.0,8216038912.0,2.342725173210162,0
MFS Intermediate High Income Fund,CIF,Financial Services,7.038261,130067.0,29145038.0,1.2039473684210527,4
Companhia Energética de Minas Gerais - CEMIG,CIG,Utilities,4.914572,3265529.0,5627273216.0,1.3773584905660377,0
"BlackRock Enhanced Large Cap Core Fund, Inc.",CII,Financial Services,5.8951054,134967.0,707567040.0,1.3907894736842106,4
Chimera Investment Corporation,CIM,Real Estate,10.118181,671695.0,900668544.0,1.7147208121827413,0
CI&T Inc.,CINT,Technology,21.086956,123698.0,653207680.0,2.4071856287425146,0
CION Investment Corporation,CION,Financial Services,14.698413,377550.0,491027264.0,1.4935370152761458,4
"Civitas Resources, Inc.",CIVI,Energy,3.327423,2285311.0,2618436864.0,3.450197455024133,0
Colgate-Palmolive Company,CL,Consumer Defensive,26.927351,5350973.0,76659605504.0,1.2810595405532115,2
Core Laboratories Inc.,CLB,Energy,18.742424,421232.0,577706240.0,2.4783037475345164,0
,CLBR,,39.851852,195078.0,228650000.0,1.2098522167487684,0
Cool Company Ltd.,CLCO,Energy,3.0504372,232378.0,298766944.0,3.033259423503326,0
"Clean Harbors, Inc.",CLH,Industrials,27.376852,516636.0,11025290240.0,1.4981771271523923,0
Celestica Inc.,CLS,Technology,22.278395,5556881.0,9326003200.0,3.584347826086957,0
The Clorox Company,CLX,Consumer Defensive,37.54076,1552475.0,17018697728.0,1.343025078369906,0
Canadian Imperial Bank of Commerce,CM,Financial Services,10.571688,1108490.0,54756397056.0,1.4505376344086023,4
Comerica Incorporated,CMA,Financial Services,9.986056,2253960.0,6577356800.0,1.6206972639011474,4
Cmb.Tech NV,CMBT,Energy,1.9662161,79445.0,1706313344.0,2.7790849673202613,0
Commercial Metals Company,CMC,Basic Materials,69.53333,1280883.0,4714401792.0,1.7017405063291138,0
"Chipotle Mexican Grill, Inc.",CMG,Consumer Cyclical,41.13063,13335213.0,61878046720.0,1.5578362573099414,2
Cummins Inc.,CMI,Industrials,9.565885,972288.0,37394444288.0,1.4918083224367356,0
Costamare Inc.,CMRE,Industrials,3.5327868,512957.0,1034063808.0,2.1676942046855734,0
CMS Energy Corporation,CMS,Utilities,21.67868,2607447.0,21593112576.0,1.3068376068376069,0
CMS Energy Corporation 5.6% JRSUB NT 78,CMSA,,11.632196,12963.0,5860096000.0,1.2357212003872218,0
MFS High Yield Municipal Trust,CMU,Financial Services,6.673469,63181.0,83361456.0,1.1635220125786163,4
CNA Financial Corporation,CNA,Financial Services,13.309659,413029.0,12657088512.0,1.2369477911646587,4
Centene Corporation,CNC,Healthcare,9.196513,4689921.0,28786360320.0,1.4644739233145558,0
CNFinance Holdings Limited,CNF,Financial Services,2.9166667,49983.0,48007540.0,4.733333333333333,4
CNH Industrial N.V.,CNH,Industrials,10.934343,19401577.0,13510032384.0,1.4946120689655173,5
Canadian National Railway Company,CNI,Industrials,19.612051,1534059.0,61761617920.0,1.4253136933987995,0
"Cinemark Holdings, Inc.",CNK,Communication Services,13.696603,3956144.0,3327084544.0,2.2230392156862746,0
"Core & Main, Inc.",CNM,Industrials,22.38967,2056681.0,9437231104.0,1.669801182160129,0
CONMED Corporation,CNMD,Healthcare,11.061176,531027.0,1454009856.0,1.7071475124918531,0
"CNO Financial Group, Inc.",CNO,Financial Services,9.9652405,736609.0,3737659392.0,1.6776699029126214,4
"CenterPoint Energy, Inc.",CNP,Utilities,23.06962,5437832.0,23791898624.0,1.483667847304211,0
Canadian Natural Resources Limited,CNQ,Energy,13.997549,7579622.0,59944087552.0,1.5902636916835702,2
"Core Natural Resources, Inc.",CNR,Energy,7.611863,1023160.0,3909479936.0,2.312940367760784,0
"Cohen & Steers, Inc.",CNS,Financial Services,23.552288,233539.0,3673552128.0,1.649575197495901,4
Capital One Financial Corporation,COF,Financial Services,14.225152,4634254.0,63029309440.0,1.6429072759884582,4
"Concentra Group Holdings Parent, Inc.",CON,Healthcare,13.369863,847936.0,2501917440.0,1.3131286394917945,0
ConocoPhillips,COP,Energy,11.120358,9314177.0,109793000000.0,1.6370806209313973,2
"Cencora, Inc.",COR,Healthcare,39.70071,1794736.0,54218334208.0,1.3812450528472318,0
Canadian Pacific Kansas City Limited,CP,Industrials,25.624561,3655032.0,68190445568.0,1.3281696495713642,2
"Copa Holdings, S.A.",CPA,Industrials,6.0006866,321327.0,3597285120.0,1.4248218972628421,0
Cementos Pacasmayo S.A.A.,CPAC,Basic Materials,9.471999,5631.0,481785856.0,1.3039215686274512,0
"Corpay, Inc.",CPAY,Technology,21.301075,497077.0,20874758144.0,1.6220558478348848,0
Central Pacific Financial Corp.,CPF,Financial Services,12.738578,181131.0,680470976.0,1.7281704781704783,4
Chesapeake Utilities Corporation,CPK,Utilities,25.5,112413.0,3086599680.0,1.3300857365549494,0
"Coupang, Inc.",CPNG,Consumer Cyclical,264.3125,8663144.0,38292537344.0,1.481828193832599,0
Camden Property Trust,CPT,Real Estate,73.68,1056254.0,12024465408.0,1.3302427336180853,0
"Cheniere Energy Partners, L.P.",CQP,Energy,13.494118,223368.0,27760152576.0,1.4647827017769215,0
Crane Company,CR,Industrials,29.73747,335513.0,7846387712.0,1.483942065491184,0
"Corebridge Financial, Inc.",CRBG,Financial Services,7.298387,3107647.0,14997090304.0,1.4925284930350358,4
California Resources Corporation,CRC,Energy,7.382035,1030836.0,3091505920.0,1.9505973522763964,0
CRH plc,CRH,Basic Materials,16.390438,7553395.0,55640780800.0,1.559005338578252,0
"Carter's, Inc.",CRI,Consumer Cyclical,6.8750005,1518322.0,1275545984.0,2.3163138231631386,0
"Charles River Laboratories International, Inc.",CRL,Healthcare,505.55,1587247.0,4966088704.0,2.7667102111909427,0
"Salesforce, Inc.",CRM,Technology,36.99685,7396739.0,225768000000.0,1.740566037735849,2
Carpenter Technology Corporation,CRS,Industrials,31.461246,882703.0,8312945152.0,2.821338967384128,0
Cross Timbers Royalty Trust,CRT,Energy,10.610526,30868.0,60480000.0,1.686936936936937,0
Carlisle Companies Incorporated,CSL,Industrials,18.861156,514296.0,15263551488.0,1.545422433447866,0
Constellium SE,CSTM,Basic Materials,22.0,1612883.0,1194794368.0,3.001364256480218,0
"Carriage Services, Inc.",CSV,Consumer Cyclical,18.380953,141126.0,605224832.0,1.7760697964270877,0
Coterra Energy Inc.,CTRA,Energy,16.520132,6797221.0,18934450176.0,1.34304932735426,0
"CareTrust REIT, Inc.",CTRE,Real Estate,35.025,1869116.0,5258289152.0,1.425193465176268,0
CTS Corporation,CTS,Technology,19.61905,181604.0,1112893184.0,1.754262198706643,0
"Corteva, Inc.",CTVA,Basic Materials,48.204918,3826780.0,40168112128.0,1.3245350929814037,0
CubeSmart,CUBE,Real Estate,22.34593,1797388.0,8844969984.0,1.610397196261682,0
"Customers Bancorp, Inc.",CUBI,Financial Services,8.693517,310137.0,1397600896.0,1.6807361963190184,4
Carnival Corporation & plc,CUK,Consumer Cyclical,9.987097,1988719.0,20299077632.0,2.066403162055336,0
Curbline Properties Corp.,CURB,Real Estate,252.5,635632.0,2390988288.0,1.3664893617021276,0
Torrid Holdings Inc.,CURV,Consumer Cyclical,33.566666,317201.0,528312448.0,4.192660550458715,0
Cousins Properties Incorporated,CUZ,Real Estate,87.399994,1462613.0,4403255808.0,1.4788732394366195,0
Cenovus Energy Inc.,CVE,Energy,9.825,11563634.0,21498474496.0,2.1094819159335287,0
"CVR Energy, Inc.",CVI,Energy,303.5,1058108.0,1830669440.0,2.256953642384106,0
"Covenant Logistics Group, Inc.",CVLG,Industrials,14.1640625,110986.0,481458432.0,1.7623138602520045,0
Carvana Co.,CVNA,Consumer Cyclical,123.522,4658434.0,22968389632.0,4.331311936104126,0
CVS Health Corporation,CVS,Healthcare,17.677595,10883737.0,81675984896.0,1.6402662993572084,2
Chevron Corporation,CVX,Energy,13.675925,9157995.0,232191000000.0,1.2796122387155409,2
Curtiss-Wright Corporation,CW,Industrials,29.824953,317460.0,11848386560.0,1.5790318696315324,0
"Clearwater Analytics Holdings, Inc.",CWAN,Technology,12.854167,2578139.0,5505904128.0,2.2861715749039693,0
"Clearway Energy, Inc.",CWEN,Utilities,36.933334,1043165.0,5459475968.0,1.3750552852720035,0
Cushman & Wakefield plc,CWK,Real Estate,14.044642,2149904.0,1819024896.0,2.108638743455497,0
California Water Service Group,CWT,Utilities,15.584616,396891.0,3017225728.0,1.350864553314121,0
"CEMEX, S.A.B. de C.V.",CX,Basic Materials,8.631147,12808008.0,7638619648.0,1.7075664621676891,0
MFS High Income Municipal Trust,CXE,Financial Services,6.6632695,84468.0,109233744.0,1.1923076923076925,4
MFS Investment Grade Municipal Trust,CXH,Financial Services,8.528636,15052.0,61536784.0,1.1452054794520548,4
"Sprinklr, Inc.",CXM,Technology,15.647728,1829339.0,1761775232.0,1.905185185185185,0
"Crane NXT, Co.",CXT,Industrials,13.498433,471562.0,2469814016.0,1.613143957631199,0
"CoreCivic, Inc.",CXW,Industrials,34.935,1275808.0,2367795200.0,2.3268156424581004,0
China Yuchai International Limited,CYD,Consumer Cyclical,12.477478,402303.0,519628480.0,3.2830188679245285,0
"Dominion Energy, Inc.",D,Utilities,23.631819,5329827.0,44306657280.0,1.2913106897270263,0
Danaos Corporation,DAC,Industrials,2.9013438,103200.0,1411025792.0,1.5022935779816513,0
"Delta Air Lines, Inc.",DAL,Industrials,6.9716315,11868131.0,25674190848.0,2.014392630972942,0
"Youdao, Inc.",DAO,Consumer Defensive,77.25,194393.0,923670528.0,4.132867132867133,0
Darling Ingredients Inc.,DAR,Consumer Defensive,17.413294,2306896.0,4764148224.0,1.8184615384615386,0
Endava plc,DAVA,Technology,154.81819,475640.0,1012508480.0,2.104806597550617,0
Dayforce Inc,DAY,Technology,476.5909,2016324.0,8296885248.0,1.756372132540357,0
Deutsche Bank Aktiengesellschaft,DB,Financial Services,14.945163,4134357.0,45130752000.0,1.848905109489051,4
DoubleLine Opportunistic Credit Fund,DBL,Financial Services,5.7871103,57483.0,278727232.0,1.1214630779848171,4
"DigitalBridge Group, Inc.",DBRG,Financial Services,43.277775,2851211.0,1454805760.0,2.764430577223089,4
"Donaldson Company, Inc.",DCI,Industrials,17.944445,680062.0,7334819328.0,1.3742384682332462,0
Ducommun Incorporated,DCO,Industrials,26.438097,79452.0,825210432.0,1.3620556414219476,0
"DuPont de Nemours, Inc.",DD,Basic Materials,33.347458,3070140.0,24701843456.0,1.674911660777385,0
Dingdong (Cayman) Limited,DDL,Consumer Defensive,12.388888,780506.0,483878784.0,4.2767857142857135,0
"Dillard's, Inc.",DDS,Consumer Cyclical,8.518337,164996.0,4921951232.0,1.8069727891156462,0
Deere & Company,DE,Industrials,19.442375,1532986.0,119048000000.0,1.513962375073486,2
"Easterly Government Properties, Inc.",DEA,Real Estate,44.21111,1695054.0,866411328.0,1.8645699614890887,0
Deckers Outdoor Corporation,DECK,Consumer Cyclical,16.412777,3635927.0,15344760832.0,2.3898847631241997,0
"Douglas Emmett, Inc.",DEI,Real Estate,103.76923,2242688.0,2675471616.0,1.6545601291364003,0
Dell Technologies Inc.,DELL,Technology,12.759404,9225819.0,56807747584.0,2.712452830188679,2
Diageo plc,DEO,Consumer Defensive,16.918062,1200959.0,60643401728.0,1.4323868149324863,0
"Despegar.com, Corp.",DESP,Consumer Cyclical,239.375,2402514.0,1601204224.0,2.1135135135135137,0
"Dream Finders Homes, Inc.",DFH,Consumer Cyclical,6.2507486,478959.0,1950731008.0,1.9923664122137406,0
"Donnelley Financial Solutions, Inc.",DFIN,Technology,13.627452,347760.0,1189705216.0,1.8785714285714288,0
Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,DFP,Financial Services,4.8690176,60298.0,397001472.0,1.2166853303471445,4
Discover Financial Services,DFS,Financial Services,9.284989,2190163.0,41396568064.0,1.7153814089203834,4
Dollar General Corporation,DG,Consumer Defensive,18.470646,4299837.0,20759699456.0,2.225952130061719,0
Quest Diagnostics Incorporated,DGX,Healthcare,20.908203,1313504.0,17820291072.0,1.3932855584982085,0
BNY Mellon High Yield Strategies Fund,DHF,Financial Services,5.277778,370273.0,172749184.0,1.2117117117117115,4
"D.R. Horton, Inc.",DHI,Consumer Cyclical,9.075815,3897072.0,36945977344.0,1.809579862368707,0
Danaher Corporation,DHR,Healthcare,34.68998,4777685.0,131292000000.0,1.6473684210526316,2
"DHT Holdings, Inc.",DHT,Energy,9.066964,2041644.0,1630466432.0,1.4763552479815456,0
"DHI Group, Inc.",DHX,Technology,147.0,178568.0,70965280.0,2.634920634920635,0
Nuveen Dow 30 Dynamic Overwrite Fund,DIAX,Financial Services,7.8502994,86701.0,476770048.0,1.2753623188405796,4
"Dine Brands Global, Inc.",DIN,Consumer Cyclical,4.7203794,688608.0,311477088.0,2.4830917874396135,0
HF Sinclair Corporation,DINO,Energy,31.406593,3551668.0,5384672256.0,2.3815896188158963,0
The Walt Disney Company,DIS,Communication Services,27.126625,10481808.0,151041000000.0,1.481023720349563,2
"Delek Logistics Partners, LP",DKL,Energy,12.03679,208416.0,1931493376.0,1.3214801965886094,0
"DICK'S Sporting Goods, Inc.",DKS,Consumer Cyclical,12.558007,1458452.0,14089739264.0,1.5303239766784877,0
"Dolby Laboratories, Inc.",DLB,Industrials,26.10185,491750.0,6792176128.0,1.3513187641296158,0
Dynagas LNG Partners LP,DLNG,Energy,3.1809525,70360.0,122385280.0,1.76006977975764,0
"Digital Realty Trust, Inc.",DLR,Real Estate,90.540375,2675106.0,49982201856.0,1.5236629472874184,0
Deluxe Corporation,DLX,Industrials,11.949068,409011.0,630510848.0,1.8153284671532848,0
DoubleLine Yield Opportunities Fund,DLY,,5.2960143,169432.0,706179392.0,1.234027017159547,0
Destra Multi-Alternative Fund,DMA,Financial Services,8.131313,25788.0,72154080.0,1.3179856115107913,4
"BNY Mellon Municipal Bond Infrastructure Fund, Inc.",DMB,Financial Services,9.380953,57336.0,181299104.0,1.1774530271398747,4
Western Asset Mortgage Opportunity Fund Inc.,DMO,Financial Services,7.4701986,69126.0,128436336.0,1.1415356151711378,4
DNOW Inc.,DNOW,Industrials,20.54054,1203186.0,1654109568.0,1.6154991243432575,0
DNP Select Income Fund Inc.,DNP,Financial Services,4.045455,704583.0,3457939968.0,1.2518703241895262,4
"Healthpeak Properties, Inc.",DOC,Real Estate,51.138885,5373080.0,12861151232.0,1.342181188690133,0
"DigitalOcean Holdings, Inc.",DOCN,Technology,29.415731,1462252.0,2410334976.0,1.8475442043222006,0
"Doximity, Inc.",DOCS,Healthcare,50.9808,2653536.0,9565884416.0,3.711236933797909,0
Dole plc,DOLE,Consumer Defensive,8.549383,520726.0,1317661312.0,1.453927813163482,0
Dover Corporation,DOV,Industrials,15.547619,1116619.0,21480355840.0,1.554180648769575,0
Dow Inc.,DOW,Basic Materials,17.805733,8758450.0,19729631232.0,2.4018355945730248,0
Duff & Phelps Utility and Infrastructure Fund Inc.,DPG,Financial Services,3.1279998,98311.0,435534880.0,1.3542795232936078,4
DRDGOLD Limited,DRD,Basic Materials,15.740386,490952.0,1411806208.0,2.303664921465969,0
DiamondRock Hospitality Company,DRH,Real Estate,38.12222,2476306.0,1440402432.0,1.615508885298869,0
"Darden Restaurants, Inc.",DRI,Consumer Cyclical,22.02812,1296888.0,22917201920.0,1.5529550305439022,0
DoubleLine Income Solutions Fund,DSL,Financial Services,4.5515876,502586.0,1278710016.0,1.2514177693761814,4
"BNY Mellon Strategic Municipal Bond Fund, Inc.",DSM,Financial Services,8.212121,165455.0,267903552.0,1.2083333333333333,4
"BlackRock Debt Strategies Fund, Inc.",DSU,Financial Services,10.733695,276285.0,511616832.0,1.2832568807339448,4
Diana Shipping Inc.,DSX,Industrials,29.0,294126.0,167863600.0,2.5354330708661417,0
"Dynatrace, Inc.",DT,Technology,26.490623,3248193.0,12687949824.0,1.6030534351145038,0
DTE Energy Company,DTE,Utilities,19.397505,1452785.0,27251492864.0,1.3013533555802743,0
DTF Tax-Free Income 2028 Term Fund Inc.,DTF,Financial Services,18.449999,8295.0,77817336.0,1.0761278195488722,4
"DT Midstream, Inc.",DTM,Energy,25.661112,1259090.0,9384976384.0,1.876895336447832,0
DTE Energy Company JR SUB DB 2017 E,DTW,,3.431807,24222.0,3751128576.0,1.2218383533647998,0
Duke Energy Corporation,DUK,Utilities,21.063158,4223840.0,93289259008.0,1.295717832023169,2
"DoubleVerify Holdings, Inc.",DV,Technology,37.95313,2456214.0,1973295360.0,2.7039930555555554,0
DaVita Inc.,DVA,Healthcare,12.405872,975498.0,10649200640.0,1.395601833864325,0
Devon Energy Corporation,DVN,Energy,6.403509,9988844.0,18937776128.0,2.054847431440711,0
"Dynex Capital, Inc.",DX,Real Estate,7.647651,3717788.0,1096222976.0,1.3456904541241892,0
Destiny Tech100 Inc.,DXYZ,,17.954374,687231.0,312546880.0,9.980645161290322,0
"Dycom Industries, Inc.",DY,Industrials,19.01309,549790.0,4339134464.0,1.577224632716754,0
Eni S.p.A.,E,Energy,15.596591,326906.0,42081128448.0,1.3509127789046653,0
"Entergy Arkansas, Inc. 1M BD 4.875%66",EAI,,5.946104,0.0,953698048.0,4.097092163627402,0
Ellington Credit Company,EARN,Financial Services,18.75,899693.0,197185792.0,1.6766743648960738,4
"Brinker International, Inc.",EAT,Consumer Cyclical,25.506956,1562659.0,6512937472.0,4.222759226713532,0
"Ennis, Inc.",EBF,Industrials,10.990506,196247.0,451708800.0,1.4940961443616003,0
Centrais Elétricas Brasileiras S.A. - Eletrobrás,EBR,Utilities,9.5,1263662.0,14259066880.0,1.4550458715596328,0
Ecopetrol S.A.,EC,Energy,5.654088,2910090.0,18481911808.0,1.7572815533980584,0
BlackRock ESG Capital Allocation Term Trust,ECAT,,6.0494943,365308.0,1424350592.0,1.3588014981273409,0
Eagle Point Credit Company Inc.,ECC,Financial Services,8.511628,1467549.0,879739584.0,1.6039755351681957,4
Eagle Point Credit Company Inc. 6.6875% NT 28,ECCX,,12.009828,4345.0,442136704.0,1.1299790356394128,0
"Everus Construction Group, Inc.",ECG,Industrials,12.697474,802006.0,1819646464.0,2.4835245379222437,0
Ecolab Inc.,ECL,Basic Materials,31.295393,1468639.0,65507876864.0,1.259676899710038,0
Okeanis Eco Tankers Corp.,ECO,Industrials,6.3187866,207060.0,687585472.0,2.04857621440536,0
"Consolidated Edison, Inc.",ED,Utilities,21.148855,2967967.0,39917363200.0,1.316109074243813,0
"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",EDD,Financial Services,8.0912285,261996.0,297271072.0,1.2149532710280373,4
Virtus Stone Harbor Emerging Markets Income Fund,EDF,Financial Services,3.8264463,143485.0,141582160.0,1.384057971014493,4
Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,EDN,Utilities,6.2447014,161649.0,1477915392.0,3.751088534107402,0
New Oriental Education & Technology Group Inc.,EDU,Consumer Defensive,19.286957,1815995.0,7370591744.0,2.23905558288244,0
"Excelerate Energy, Inc.",EE,Energy,20.52756,419854.0,2941921280.0,2.043357076494271,0
Ellington Financial Inc.,EFC,Real Estate,8.827206,1211659.0,1088595328.0,1.2949640287769786,0
Eaton Vance Senior Floating-Rate Trust,EFR,Financial Services,7.385226,111300.0,335845312.0,1.2884615384615385,4
Eaton Vance Floating-Rate Income Trust,EFT,Financial Services,8.159722,107685.0,310727584.0,1.3295019157088124,4
Equifax Inc.,EFX,Industrials,44.678352,1169686.0,27042695168.0,1.5483048304830485,0
Enerflex Ltd.,EFXT,Energy,24.846155,421573.0,802009024.0,2.3065217391304347,0
"Everest Group, Ltd.",EG,Financial Services,10.776519,441678.0,14604888064.0,1.2728125000000001,4
Eldorado Gold Corporation,EGO,Basic Materials,13.457397,2154819.0,4037033472.0,1.553423626787058,0
"EastGroup Properties, Inc.",EGP,Real Estate,33.110752,509244.0,8047042048.0,1.399070240430014,0
"VAALCO Energy, Inc.",EGY,Energy,5.9821424,973621.0,347539040.0,2.4766666666666666,0
Encompass Health Corporation,EHC,Healthcare,21.155903,791757.0,9566347264.0,1.3190764572293716,0
Western Asset Global High Income Fund Inc.,EHI,Financial Services,6.928571,84657.0,191039600.0,1.2029459901800326,4
Eagle Point Income Company Inc.,EIC,Financial Services,4.875445,277096.0,348112896.0,1.3126472898664572,4
"Employers Holdings, Inc.",EIG,Financial Services,10.101912,162967.0,1154319360.0,1.4078096715800361,4
Edison International,EIX,Utilities,16.818731,4854367.0,21434286080.0,1.8094170403587442,0
Elanco Animal Health Incorporated,ELAN,Healthcare,12.448529,5152965.0,4202516992.0,2.344139650872818,0
"e.l.f. Beauty, Inc.",ELF,Consumer Defensive,31.467066,3255888.0,2963746304.0,4.448785425101215,0
Companhia Paranaense de Energia - COPEL,ELP,Utilities,14.950981,260088.0,5353772032.0,1.4003496503496504,0
,ELPC,Utilities,13.36,11318.0,5210633728.0,1.4087301587301586,0
"Equity LifeStyle Properties, Inc.",ELS,Real Estate,32.811222,1570788.0,12877884416.0,1.3013931362555216,0
"Elevance Health, Inc.",ELV,Healthcare,15.75662,1717162.0,91602976768.0,1.5661080588608818,2
Western Asset Emerging Markets Debt Fund Inc.,EMD,Financial Services,8.512076,234554.0,524499008.0,1.2067757009345794,4
"EMCOR Group, Inc.",EME,Industrials,16.786478,576147.0,16426748928.0,1.7067513850198752,0
Templeton Emerging Markets Fund,EMF,Financial Services,6.5,48085.0,183440368.0,1.2962298025134649,4
Eastman Chemical Company,EMN,Basic Materials,9.94459,1283526.0,8806711296.0,1.614950634696756,0
ClearBridge Energy Midstream Opportunity Fund Inc,EMO,Financial Services,2.15282,43280.0,785945792.0,1.4129664941432851,4
"Entergy Mississippi, Inc. 1M BD 66",EMP,,1.5178977,8297300.0,174193840.0,2.6500655307994756,0
